,k,lhaf_exact,prob_exact,lhaf_k_approx,prob_k_approx,prob_error,exact_time,k_time
0,0,(288392.7709826405+8.11269273981452e-09j),2.1879927081085188e-08,(65415.932977948156+3.4560798667371273e-10j),4.963008741938323e-09,1.6916918339146866e-08,0.15003657341003418,0.0
1,1,(288392.7709826405+8.11269273981452e-09j),2.1879927081085188e-08,(121491.33700707546-9.276845958083868e-11j),9.217365558925076e-09,1.2662561522160112e-08,0.15003657341003418,0.03003668785095215
2,2,(288392.7709826405+8.11269273981452e-09j),2.1879927081085188e-08,(356910.27493799763+8.021743269637227e-10j),2.707824736218343e-08,-5.1983202810982406e-09,0.15003657341003418,3.4172275066375732
3,3,(288392.7709826405+8.11269273981452e-09j),2.1879927081085188e-08,(75015.76256264176+2.7909031530271022e-08j),5.691333417304695e-09,1.6188593663780492e-08,0.15003657341003418,139.09059882164001
