,k,lhaf_exact,prob_exact,lhaf_k_approx,prob_k_approx,prob_error,exact_time,k_time
0,0,(0.04288392839445398-1.4382146127756796e-18j),0.019620371835756958,(5.151383501907748e-10+0j),2.3568750242826424e-10,0.019620371600069457,0.00015974044799804688,2.8133392333984375e-05
1,1,(0.04288392839445398-1.4382146127756796e-18j),0.019620371835756958,(1.6098067510477433e-06+0j),7.365231736408115e-07,0.019619635312583317,0.00015974044799804688,0.0017099380493164062
2,2,(0.04288392839445398-1.4382146127756796e-18j),0.019620371835756958,(0.04288392839445398-4.4380773467144236e-17j),0.019620371835756958,0.0,0.00015974044799804688,0.002176523208618164
