,k,lhaf_exact,prob_exact,lhaf_k_approx,prob_k_approx,prob_error,exact_time,k_time
0,0,(0.011843832029759471+1.2338247622681553e-17j),0.010837644641444827,(1.0313614883803841e-10+0j),9.437426400385405e-11,0.010837644547070563,0.00011181831359863281,1.6927719116210938e-05
1,1,(0.011843832029759471+1.2338247622681553e-17j),0.010837644641444827,(-2.0613849880539747e-06-1.5881867761018131e-22j),-1.8862609595951577e-06,0.010839530902404422,0.00011181831359863281,0.0010020732879638672
2,2,(0.011843832029759471+1.2338247622681553e-17j),0.010837644641444827,(0.01184383202975948+9.574157345052005e-18j),0.010837644641444833,-6.938893903907228e-18,0.00011181831359863281,0.0012173652648925781
