,k,lhaf_exact,prob_exact,lhaf_k_approx,prob_k_approx,prob_error,exact_time,k_time
0,0,(7.275922915473657e-05-1.065775714798767e-18j),6.657800178043397e-05,(7.275922915484759e-05+3.3881317890172014e-21j),6.657800178053556e-05,-1.0158974356189177e-16,0.00016021728515625,2.8133392333984375e-05
1,1,(7.275922915473657e-05-1.065775714798767e-18j),6.657800178043397e-05,(7.275922915473657e-05-1.065775714798767e-18j),6.657800178043397e-05,0.0,0.00016021728515625,0.00037479400634765625
