,iteration,sample,time
0,0,[ 9  0  6 10  3  8 10  4],0.2209315299987793
1,1,[10  9  7  9 10  5  2  9],0.4721808433532715
2,2,[8 2 7 9 3 5 3 9],0.2310338020324707
3,3,[ 6  0  9 10  4  9  9  7],0.2209930419921875
4,4,[10  6  0 10  9 10  4  4],0.3097062110900879
5,5,[ 9  3  0  8  8  1  4 10],0.12259602546691895
6,6,[ 5 10  7  5  9  1  4  9],0.5926289558410645
7,7,[ 8  4 10 10  8  9  3  7],0.6529839038848877
8,8,[ 6  8  1  5  8  8  4 10],0.41220951080322266
9,9,[ 8 10  7 10  6  2  6  6],0.6333305835723877
10,10,[ 4  5  6  9  9  1  2 10],0.25112128257751465
11,11,[8 3 3 9 8 1 6 8],0.16071391105651855
12,12,[ 8  2  0 10  9  9  8  9],0.27137279510498047
13,13,[ 9  3  8 10  3  5  9  7],0.3997037410736084
14,14,[7 1 7 9 9 8 0 8],0.17279934883117676
15,15,[ 4  7  1 10  9  1  1 10],0.13860034942626953
16,16,[ 7  4  0 10  8  8  5  5],0.17272090911865234
17,17,[ 4  2  0  8  9  5  0 10],0.038186073303222656
18,18,[10  5  1  8  8 10  6  5],0.36358094215393066
19,19,[ 5  2  1 10 10  5  7  9],0.3314805030822754
20,20,[ 9  3  3 10  6  9 10  5],0.8334424495697021
21,21,[ 8  6  8  8 10  5  0 10],0.29134392738342285
22,22,[10  2  7 10  6  6  3  6],0.2913177013397217
23,23,[10  3  9 10  6  8  1  6],0.6126642227172852
24,24,[ 6  5  9  9  4 10  2  6],0.3013169765472412
25,25,[ 9  6  5 10 10  3  0  8],0.29142045974731445
26,26,[10  9  3 10  9  4  0 10],0.21114325523376465
27,27,[8 1 1 9 6 9 9 9],0.2310473918914795
28,28,[ 9  4 10 10 10  9  0  7],0.3697550296783447
29,29,[ 4  1  6 10  7  8  0  8],0.06228971481323242
30,30,[10  8  8  9  6  4  3  8],0.9422259330749512
31,31,[ 5  0  0 10 10  3  1  8],0.032156944274902344
32,32,[ 5  3  5  9  8 10  3  6],0.44193077087402344
33,33,[ 9  0 10 10  2  9  9  9],0.3497741222381592
34,34,[ 5  2  9  8 10  1  8  9],0.4338366985321045
35,35,[ 8  1  6  8  5 10  1  9],0.30135393142700195
36,36,[ 5  1  9 10  3  7  7 10],0.2892730236053467
37,37,[ 9  5  4  9  7  2  0 10],0.16278648376464844
38,38,[10  4  2  9 10  8  3  5],0.3215675354003906
39,39,[ 5  1  3 10  9  0  0  7],0.04021859169006348
40,40,[10 10 10  7  9  8  5  9],2.420217275619507
41,41,[10  0  6 10  3 10 10 10],0.3626284599304199
42,42,[ 9  9  5 10  9  3  1  8],0.29125356674194336
43,43,[10  2  0  9  9  6  2  9],0.14061808586120605
44,44,[ 9  4  1  9  6  6  2 10],0.17074847221374512
45,45,[ 8  5  4  7  8 10  4  7],0.8838675022125244
46,46,[ 7  1  5 10  5  9  0  9],0.12856364250183105
47,47,[ 9 10  6  9  9  1  2  8],0.5726184844970703
48,48,[10  3 10 10  5  9  2  9],0.3315730094909668
49,49,[ 7  7 10  8  7  0  6 10],0.32352614402770996
50,50,[ 6  1  3 10  7  6  0  9],0.07030963897705078
51,51,[ 7  3  3 10  9  5  0 10],0.1708083152770996
52,52,[ 9  2 10  9  2  7  5 10],0.6330640316009521
53,53,[ 9  2  1  9  5 10  3  8],0.17080450057983398
54,54,[ 4  4  8 10  8  0  7 10],0.23103713989257812
55,55,[8 6 9 9 7 4 1 9],0.321382999420166
56,56,[ 8  6 10 10  4  9  2  8],0.5726182460784912
57,57,[ 6  4  4 10  4  7  0 10],0.17092275619506836
58,58,[10  1  0 10  6  3  6  9],0.09043502807617188
59,59,[ 7  1  3 10  2  4  1  7],0.0603175163269043
60,60,[10  4  3 10  9  7  2  5],0.291226863861084
61,61,[ 6  2  8 10  4 10  1 10],0.25113797187805176
62,62,[ 9  3  2 10  6  6  1 10],0.168776273727417
63,63,[ 6  5  8  6  8  8  0 10],0.3535494804382324
64,64,[ 9  1  5 10 10 10  1  7],0.36968374252319336
65,65,[10  5  4 10 10  9  2  9],0.4039640426635742
66,66,[ 5  3  4 10  8  9  3  7],0.41977858543395996
67,67,[ 6  5 10 10  5  0  0 10],0.07357454299926758
68,68,[8 4 5 9 9 2 0 9],0.14986181259155273
69,69,[8 1 2 9 9 6 7 9],0.24110198020935059
70,70,[10  9  0 10  9  2  1  7],0.11854791641235352
71,71,[ 8  2  7 10  5  6  0  7],0.25322413444519043
72,72,[ 7  4  2 10 10  3  0 10],0.08038449287414551
73,73,[ 9  8  5  9  8  5  0 10],0.25112199783325195
74,74,[ 8  1  0 10 10  6  9  5],0.271209716796875
75,75,[ 9  2  3 10  5  7  3  8],0.23904991149902344
76,76,[ 9  8  2 10 10  0  2 10],0.10247945785522461
77,77,[ 9  5  1 10 10  3  2  8],0.17071962356567383
78,78,[10  2  0 10  9  6  2  9],0.14094281196594238
79,79,[8 3 9 8 5 9 4 9],0.7030115127563477
80,80,[ 6  2  8  9  3  9  5 10],0.6109206676483154
81,81,[ 4  2  9 10 10  3  1  6],0.22101140022277832
82,82,[10  3  2  9  7  9  2  7],0.2712271213531494
83,83,[ 9  0  6 10  7 10  6  8],0.22304892539978027
84,84,[ 7 10  1  8  9  0  7  9],0.44194698333740234
85,85,[ 5  2  3 10  7  3  4  8],0.13863873481750488
86,86,[10  6  2  9 10  3  2  9],0.1828022003173828
87,87,[ 6  5 10  9 10  2  7  8],0.4419827461242676
88,88,[ 6  2  7 10  8 10  2  4],0.43190455436706543
89,89,[10  2  9  8 10 10  1  4],0.261150598526001
90,90,[ 6  2  4  8  8  1  0 10],0.09064173698425293
91,91,[10  5  3 10 10  6  0  5],0.18088197708129883
92,92,[ 9  8  0  9  9  2  0 10],0.07031989097595215
93,93,[10  8  9 10  6  4  4  8],0.9945049285888672
94,94,[ 9  5  1 10  9  2  0 10],0.12857508659362793
95,95,[ 9  6  1  8  8 10  7  7],0.5142691135406494
96,96,[10  5  3  9 10  8  2  4],0.2914998531341553
97,97,[10  2  3  9  5 10  0  9],0.1687605381011963
98,98,[ 2  2 10 10  5  2  0  9],0.08055377006530762
99,99,[ 7  6  0 10  4  5  4  7],0.09041237831115723
