,iteration,sample,time
0,0,[5 2 3 4],0.0
1,1,[2 1 2 1],0.010084867477416992
2,2,[3 0 1 4],0.01004934310913086
3,3,[0 4 1 3],0.010065793991088867
4,4,[4 0 1 5],0.010045051574707031
5,5,[0 0 0 0],0.01006770133972168
6,6,[2 1 7 2],0.010045289993286133
7,7,[5 1 1 9],0.010088443756103516
8,8,[8 3 0 5],0.010049581527709961
9,9,[7 5 3 7],0.010354042053222656
10,10,[3 4 3 2],0.018105506896972656
11,11,[0 0 2 0],0.010042905807495117
12,12,[9 4 2 3],0.011230230331420898
13,13,[ 6  6 10  4],0.011147022247314453
14,14,[6 4 3 1],0.010057449340820312
15,15,[2 3 0 1],0.010040760040283203
16,16,[7 3 9 1],0.010064363479614258
17,17,[5 8 0 1],0.0180816650390625
18,18,[1 0 9 2],0.010045766830444336
19,19,[2 6 1 1],0.012096881866455078
20,20,[0 0 3 1],0.010042428970336914
21,21,[5 1 4 6],0.010071516036987305
22,22,[6 1 4 7],0.010043859481811523
23,23,[10  7  2  5],0.020114660263061523
24,24,[1 9 2 4],0.02011895179748535
25,25,[2 0 0 2],0.010087251663208008
26,26,[1 3 0 0],0.010042190551757812
27,27,[ 1 10  9  2],0.02010345458984375
28,28,[3 4 4 7],0.010089874267578125
29,29,[6 1 0 3],0.010039091110229492
30,30,[10  5  1 10],0.018085479736328125
31,31,[10  5  4  3],0.012102365493774414
32,32,[10  9  6  7],0.020087480545043945
33,33,[2 1 0 1],0.010035991668701172
34,34,[3 0 0 3],0.010082006454467773
35,35,[0 0 5 1],0.010042428970336914
36,36,[0 1 6 5],0.018118858337402344
37,37,[5 3 5 3],0.01208949089050293
38,38,[10 10  6  6],0.028162240982055664
39,39,[6 4 8 0],0.012109518051147461
40,40,[2 8 0 0],0.010050535202026367
41,41,[5 4 0 3],0.020108938217163086
42,42,[0 3 5 2],0.010071039199829102
43,43,[3 2 7 2],0.020101308822631836
44,44,[4 1 0 3],0.010036230087280273
45,45,[3 0 1 2],0.010083436965942383
46,46,[8 5 1 8],0.020110607147216797
47,47,[5 5 8 4],0.018073320388793945
48,48,[0 0 2 0],0.012059688568115234
49,49,[6 2 3 5],0.010073423385620117
50,50,[2 0 1 3],0.02012157440185547
51,51,[5 9 0 0],0.010102272033691406
52,52,[ 1 10  2  5],0.020154714584350586
53,53,[0 0 0 2],0.0181119441986084
54,54,[1 2 2 3],0.012091398239135742
55,55,[2 4 0 2],0.01809406280517578
56,56,[9 4 0 3],0.012075424194335938
57,57,[0 2 2 0],0.018105506896972656
58,58,[3 7 1 3],0.012096881866455078
59,59,[1 1 0 0],0.02012324333190918
60,60,[4 5 1 4],0.010039329528808594
61,61,[3 2 3 2],0.020093441009521484
62,62,[7 8 6 1],0.018096446990966797
63,63,[ 7 10  1  6],0.012099266052246094
64,64,[2 1 1 2],0.0201416015625
65,65,[8 9 1 4],0.02013707160949707
66,66,[4 1 3 4],0.010042428970336914
67,67,[1 0 7 8],0.02010488510131836
68,68,[3 8 3 0],0.020143985748291016
69,69,[1 0 0 3],0.01007223129272461
70,70,[5 3 1 1],0.0201113224029541
71,71,[ 3  5 10  0],0.020108461380004883
72,72,[8 3 0 7],0.020087003707885742
73,73,[6 9 0 1],0.020120859146118164
74,74,[0 0 9 1],0.010042667388916016
75,75,[4 7 5 2],0.020139455795288086
76,76,[2 4 6 0],0.020128250122070312
77,77,[0 6 2 4],0.018099069595336914
78,78,[0 9 3 2],0.022119760513305664
79,79,[7 2 1 8],0.0201263427734375
80,80,[0 6 2 2],0.018084287643432617
81,81,[1 0 3 2],0.012082576751708984
82,82,[3 9 8 6],0.030126333236694336
83,83,[3 0 9 8],0.018073081970214844
84,84,[1 3 1 1],0.012081384658813477
85,85,[1 3 2 0],0.0200958251953125
86,86,[ 2  2 10  0],0.020116806030273438
87,87,[3 0 1 6],0.020118236541748047
88,88,[ 9 10  2  3],0.020096540451049805
89,89,[2 0 0 4],0.020114898681640625
90,90,[3 7 4 0],0.0201263427734375
91,91,[1 3 0 8],0.020143747329711914
92,92,[2 4 8 0],0.020100831985473633
93,93,[1 0 3 2],0.020103931427001953
94,94,[0 0 9 5],0.01805710792541504
95,95,[5 7 9 3],0.022117137908935547
96,96,[8 2 1 7],0.020096778869628906
97,97,[4 4 1 3],0.01808476448059082
98,98,[ 6  0  4 10],0.012060403823852539
99,99,[5 8 2 1],0.028141260147094727
