,iteration,sample,time
0,0,[ 0  8  2 10  1  2  1  2],0.03816676139831543
1,1,[2 2 0 0 0 5 0 7],0.012059926986694336
2,2,[0 2 2 3 8 2 0 5],0.04021859169006348
3,3,[3 7 2 9 9 4 4 2],0.15073108673095703
4,4,[0 0 0 0 1 2 4 5],0.010046958923339844
5,5,[0 0 2 4 0 8 1 1],0.020111083984375
6,6,[1 4 4 1 3 4 1 0],0.020145654678344727
7,7,[1 1 0 6 0 4 6 0],0.01811051368713379
8,8,[1 2 6 7 1 9 1 1],0.06231331825256348
9,9,[ 4 10  0  9  0  8  3  0],0.07033824920654297
10,10,[ 2  4  0 10  0  0  0  4],0.030132293701171875
11,11,[1 6 7 7 3 0 8 8],0.12056827545166016
12,12,[ 0  4  8  9 10  1  0  4],0.09042119979858398
13,13,[ 0  5  1 10  0 10  7  1],0.030131101608276367
14,14,[8 7 3 0 1 1 0 4],0.04019498825073242
15,15,[6 6 1 2 0 9 3 7],0.06027030944824219
16,16,[ 1  8  1 10 10  8  2  2],0.14078235626220703
17,17,[1 0 2 3 7 2 3 4],0.05031728744506836
18,18,[ 0  1  2  1 10  3  1 10],0.040216922760009766
19,19,[ 9  8  3  2 10  1  0  9],0.299407958984375
20,20,[4 9 4 7 5 3 0 0],0.13258743286132812
21,21,[ 8  0  2 10  5  3  0  6],0.14062786102294922
22,22,[2 7 2 6 3 3 1 4],0.13113617897033691
23,23,[ 5 10  7  9  0  1  2  0],0.060263633728027344
24,24,[2 2 0 0 2 0 3 1],0.01006007194519043
25,25,[1 0 0 1 6 0 2 2],0.020097017288208008
26,26,[3 0 2 2 0 4 2 1],0.020121097564697266
27,27,[3 6 7 1 2 3 1 3],0.060271501541137695
28,28,[ 2  1  0 10  0  4  1  4],0.040206193923950195
29,29,[ 7  3  1 10  5  3  1  2],0.17076444625854492
30,30,[4 7 2 6 8 5 0 8],0.30138063430786133
31,31,[4 2 3 1 8 0 0 0],0.03018331527709961
32,32,[ 9  2 10  8  5  7  2  7],0.5322024822235107
33,33,[ 4  1  2  9 10  3  8  7],0.20111083984375
34,34,[3 6 4 5 1 0 2 3],0.05026841163635254
35,35,[0 7 5 5 2 1 2 0],0.020105600357055664
36,36,[1 6 2 6 2 0 0 1],0.030137300491333008
37,37,[1 8 1 9 1 0 3 9],0.060274600982666016
38,38,[3 3 0 5 9 2 1 7],0.17081260681152344
39,39,[1 0 4 1 3 2 7 6],0.03014230728149414
40,40,[ 2  0  0  8 10  9  3  0],0.06031298637390137
41,41,[ 1  4  0 10  0  1  0  0],0.020117998123168945
42,42,[ 1 10  2  7  4  4  7  5],0.30139708518981934
