,iteration,sample,time
0,0,[4 4 1 3 8 0 0 6],0.07035470008850098
1,1,[6 0 8 3 4 0 7 6],0.05824875831604004
2,2,[2 7 5 4 2 1 0 1],0.05025935173034668
3,3,[ 5  1  3  3 10  6  9  5],0.22107577323913574
4,4,[7 7 4 6 5 9 4 2],0.3334207534790039
5,5,[0 0 0 1 3 2 1 1],0.010046005249023438
6,6,[3 2 2 8 0 4 1 0],0.030193805694580078
7,7,[0 7 4 7 6 4 0 0],0.040183067321777344
8,8,[1 1 0 0 2 5 0 5],0.0200960636138916
9,9,[ 4  1  5  9 10  6  1  2],0.24112868309020996
10,10,[8 1 5 6 7 1 3 3],0.16884160041809082
11,11,[3 1 2 0 1 7 7 5],0.032196998596191406
12,12,[0 5 4 8 4 4 1 0],0.04821896553039551
13,13,[2 5 1 7 0 1 0 0],0.02212810516357422
14,14,[2 3 2 2 9 1 0 3],0.0602879524230957
15,15,[4 4 1 3 8 2 0 2],0.08841681480407715
16,16,[ 0  2  4  1 10  0  1  6],0.042205810546875
17,17,[7 0 7 0 7 3 4 2],0.030131101608276367
18,18,[3 2 0 5 4 6 8 0],0.030198097229003906
19,19,[8 7 2 0 4 0 2 5],0.04824090003967285
20,20,[1 1 0 0 0 0 0 0],0.012082815170288086
21,21,[ 2  1 10  7  3  0  3  0],0.040276288986206055
22,22,[5 0 3 0 9 0 0 3],0.030132532119750977
23,23,[1 5 0 9 2 1 2 0],0.030173301696777344
24,24,[8 6 4 4 1 0 0 9],0.11052560806274414
25,25,[0 2 0 3 2 1 0 2],0.020116090774536133
26,26,[2 5 0 6 6 0 0 3],0.040205955505371094
27,27,[ 2  6  3  1  6  0  0 10],0.10047554969787598
28,28,[2 0 3 3 4 0 8 0],0.02009868621826172
29,29,[1 0 5 0 4 4 4 0],0.020115137100219727
30,30,[0 4 1 9 2 2 0 4],0.05827641487121582
31,31,[9 4 8 0 0 5 2 6],0.09255313873291016
32,32,[0 1 0 5 1 1 0 0],0.020123004913330078
33,33,[0 6 2 4 1 9 2 6],0.07837462425231934
34,34,[2 0 3 0 1 0 5 1],0.012060165405273438
35,35,[3 0 2 0 2 5 4 6],0.020119905471801758
36,36,[2 0 4 6 0 5 0 3],0.0301973819732666
