,iteration,sample,time
0,0,[ 4  6 10],0.0020155906677246094
1,1,[7 4 8],0.020131826400756836
2,2,[ 9  6 10],0.010068655014038086
3,3,[ 6  3 10],0.010046720504760742
4,4,[ 9  2 10],0.010091304779052734
5,5,[10  1 10],0.010048866271972656
6,6,[ 3  7 10],0.010101318359375
7,7,[ 2  3 10],0.010045051574707031
8,8,[4 4 9],0.010084867477416992
9,9,[ 8  3 10],0.01004648208618164
10,10,[3 4 9],0.010078191757202148
11,11,[6 3 9],0.010040283203125
12,12,[ 9  4 10],0.02010798454284668
13,13,[4 5 9],0.010065317153930664
14,14,[ 5  8 10],0.01003718376159668
15,15,[4 5 9],0.010068416595458984
16,16,[ 8  6 10],0.010040044784545898
17,17,[3 6 8],0.010080099105834961
18,18,[ 2  6 10],0.010040521621704102
19,19,[7 4 9],0.010073661804199219
20,20,[ 2  7 10],0.018088340759277344
21,21,[10  9 10],0.012075424194335938
22,22,[ 2  3 10],0.010073423385620117
23,23,[6 5 8],0.010042190551757812
24,24,[2 2 9],0.010090351104736328
25,25,[ 7  4 10],0.010045051574707031
26,26,[8 3 9],0.010066986083984375
27,27,[ 1  6 10],0.018102407455444336
28,28,[ 4  0 10],0.012064218521118164
29,29,[9 2 9],0.01006937026977539
30,30,[4 3 8],0.010044336318969727
31,31,[ 7  2 10],0.010063409805297852
32,32,[4 9 8],0.020113468170166016
33,33,[4 2 7],0.01003718376159668
34,34,[7 8 8],0.010067462921142578
35,35,[ 1  4 10],0.010040283203125
36,36,[ 5  8 10],0.018078327178955078
37,37,[ 7  4 10],0.012080669403076172
38,38,[7 2 8],0.010042428970336914
39,39,[ 3  5 10],0.018097877502441406
40,40,[4 3 9],0.012100934982299805
41,41,[ 9 10  9],0.010042905807495117
42,42,[3 6 9],0.010071277618408203
43,43,[ 5  4 10],0.02012038230895996
44,44,[ 3  4 10],0.01005244255065918
45,45,[ 7  2 10],0.018106460571289062
46,46,[ 6  2 10],0.012081623077392578
47,47,[ 3  3 10],0.010046720504760742
48,48,[ 5  2 10],0.018091201782226562
49,49,[8 5 7],0.012077808380126953
50,50,[ 4  3 10],0.010038614273071289
51,51,[ 2  5 10],0.01807880401611328
52,52,[5 7 8],0.012087345123291016
53,53,[ 4  5 10],0.010042667388916016
54,54,[ 4  2 10],0.02012467384338379
55,55,[8 4 9],0.010084390640258789
56,56,[ 6  7 10],0.020116806030273438
57,57,[ 1  9 10],0.010040283203125
58,58,[ 5  6 10],0.020112276077270508
59,59,[ 3  4 10],0.010069608688354492
60,60,[ 8 10 10],0.020123720169067383
61,61,[3 7 8],0.010042905807495117
62,62,[ 1  8 10],0.020119905471801758
63,63,[4 6 9],0.010067939758300781
64,64,[ 3  6 10],0.020106792449951172
65,65,[8 3 9],0.018076658248901367
66,66,[ 2  4 10],0.01205301284790039
67,67,[ 7  2 10],0.010074615478515625
68,68,[10  4 10],0.020163774490356445
69,69,[4 9 9],0.020113229751586914
70,70,[4 7 9],0.018085479736328125
71,71,[10  7 10],0.012066364288330078
72,72,[3 3 9],0.02011275291442871
73,73,[ 9  4 10],0.018129587173461914
74,74,[6 1 8],0.012108802795410156
75,75,[5 6 7],0.0201113224029541
76,76,[ 2  6 10],0.010037422180175781
77,77,[3 3 5],0.02012801170349121
78,78,[4 7 7],0.0180819034576416
79,79,[6 7 8],0.0120849609375
80,80,[ 6  8 10],0.02012467384338379
81,81,[9 5 8],0.020107030868530273
82,82,[3 4 9],0.018090009689331055
83,83,[4 3 8],0.012067317962646484
84,84,[6 5 9],0.020111083984375
85,85,[ 5  9 10],0.01810455322265625
86,86,[ 6  2 10],0.012094497680664062
87,87,[ 9  3 10],0.02012467384338379
88,88,[ 4  6 10],0.020102977752685547
89,89,[ 8  4 10],0.018069028854370117
90,90,[2 3 9],0.012056827545166016
91,91,[ 3  2 10],0.020111560821533203
92,92,[ 4  4 10],0.018090009689331055
93,93,[ 4  4 10],0.012077808380126953
94,94,[ 9  5 10],0.020101547241210938
95,95,[ 6  6 10],0.020121335983276367
96,96,[ 4  2 10],0.02013874053955078
97,97,[7 2 9],0.020145177841186523
98,98,[10  3  9],0.020121335983276367
99,99,[ 6  3 10],0.019256114959716797
