,iteration,sample,time
0,0,[ 6 10  9  1],0.008017301559448242
1,1,[ 5 10  9  5],0.010050058364868164
2,2,[ 6  4  8 10],0.012061357498168945
3,3,[ 2 10  9  6],0.010081052780151367
4,4,[ 2  4 10 10],0.010049104690551758
5,5,[2 8 6 6],0.018149614334106445
6,6,[ 3  8 10  7],0.012086868286132812
7,7,[1 4 5 6],0.010039806365966797
8,8,[ 6  2  8 10],0.018114805221557617
9,9,[10  6  6  8],0.02010202407836914
10,10,[ 9  2  6 10],0.01213216781616211
11,11,[5 8 8 2],0.010043144226074219
12,12,[ 3  9 10  7],0.0181124210357666
13,13,[5 8 9 8],0.012088775634765625
14,14,[10  7  8 10],0.018070220947265625
15,15,[ 8  5 10  5],0.012054920196533203
16,16,[ 5 10 10  9],0.020082473754882812
17,17,[3 5 8 7],0.010066032409667969
18,18,[ 6  7  6 10],0.020119190216064453
19,19,[7 8 6 6],0.020114660263061523
20,20,[0 6 9 5],0.018091678619384766
21,21,[2 8 9 7],0.012071847915649414
22,22,[ 0 10  9  7],0.018103837966918945
23,23,[3 9 7 9],0.012108325958251953
24,24,[0 9 5 4],0.01809215545654297
25,25,[ 2  8  8 10],0.012066364288330078
26,26,[ 0  5 10  8],0.010079383850097656
27,27,[ 0  6 10  3],0.010044097900390625
28,28,[ 7  6  4 10],0.02815103530883789
29,29,[0 5 6 3],0.012057781219482422
30,30,[10  9  4  9],0.020110607147216797
31,31,[1 2 9 7],0.010083436965942383
32,32,[6 8 8 6],0.020116567611694336
33,33,[ 8  9  8 10],0.028200626373291016
34,34,[0 8 7 8],0.012077093124389648
35,35,[4 8 7 3],0.01808929443359375
36,36,[4 7 9 7],0.012071847915649414
37,37,[ 4  5  6 10],0.020305871963500977
38,38,[2 7 9 8],0.010065793991088867
39,39,[0 7 9 6],0.01824641227722168
40,40,[ 1  6 10  7],0.01211690902709961
41,41,[ 1  6 10  7],0.010054349899291992
42,42,[7 5 9 9],0.020100831985473633
43,43,[1 3 8 4],0.02012157440185547
44,44,[ 2  5 10  8],0.01004171371459961
45,45,[ 9 10  5 10],0.028162479400634766
46,46,[0 8 5 5],0.012069463729858398
47,47,[2 9 9 6],0.02012181282043457
48,48,[ 6  7 10 10],0.020116090774536133
49,49,[ 4  8 10  7],0.020143747329711914
50,50,[1 5 9 6],0.018100738525390625
51,51,[ 9 10  7  3],0.012085676193237305
52,52,[ 5  6  7 10],0.020105361938476562
53,53,[0 9 9 7],0.02011847496032715
54,54,[10  8  7  6],0.02010321617126465
55,55,[6 8 8 6],0.020082473754882812
56,56,[3 6 9 5],0.010046720504760742
57,57,[ 6  4 10  9],0.020128726959228516
58,58,[ 4 10 10  7],0.020114421844482422
59,59,[ 4  9  8 10],0.020111799240112305
60,60,[2 8 9 7],0.020132064819335938
61,61,[ 8 10  6  9],0.02011871337890625
62,62,[ 0  5 10  9],0.020130634307861328
63,63,[5 9 8 6],0.020119667053222656
64,64,[ 8 10  7  8],0.020127058029174805
65,65,[1 8 3 6],0.02011394500732422
66,66,[8 8 7 8],0.01809549331665039
67,67,[ 7  9 10  8],0.022114276885986328
68,68,[5 4 9 9],0.018088102340698242
69,69,[ 4  7 10  8],0.012113571166992188
70,70,[ 1  6  8 10],0.02013230323791504
71,71,[1 6 9 7],0.02013087272644043
72,72,[2 5 7 1],0.020132780075073242
73,73,[ 0 10  8  7],0.02012181282043457
74,74,[ 0 10 10  7],0.01807880401611328
75,75,[ 2  7 10  7],0.012058019638061523
76,76,[ 0 10 10  7],0.020092487335205078
77,77,[7 6 6 9],0.02009725570678711
78,78,[ 2  9 10  9],0.020104408264160156
79,79,[1 8 9 5],0.02010178565979004
80,80,[ 1 10  7  8],0.020114660263061523
81,81,[0 6 8 3],0.01809835433959961
82,82,[ 2 10  7  3],0.020139455795288086
83,83,[ 0  7 10  6],0.01210641860961914
84,84,[1 8 9 6],0.020114898681640625
85,85,[1 5 9 5],0.0201113224029541
86,86,[ 3  5  8 10],0.02813720703125
87,87,[0 9 8 5],0.012072324752807617
88,88,[0 9 9 6],0.02010369300842285
89,89,[ 0 10  7  4],0.020106077194213867
90,90,[1 9 9 7],0.02013373374938965
91,91,[9 9 3 7],0.030165672302246094
92,92,[ 9  7  8 10],0.020102739334106445
93,93,[4 4 6 8],0.020119190216064453
94,94,[0 5 9 8],0.020124435424804688
95,95,[3 4 8 7],0.020124197006225586
96,96,[9 9 7 9],0.030200958251953125
97,97,[ 6  4 10  8],0.020098209381103516
98,98,[ 3  5 10  9],0.020095109939575195
99,99,[5 5 8 3],0.020110607147216797
