,iteration,sample,time
0,0,[3 3 5 4 0 4 6],0.015621185302734375
1,1,[7 0 8 1 0 5 8],0.031243324279785156
2,2,[2 0 9 4 0 2 9],0.01562047004699707
3,3,[4 1 6 1 0 4 7],0.015621423721313477
4,4,[4 0 7 3 0 4 6],0.015621185302734375
5,5,[5 0 2 3 0 1 6],0.015621423721313477
6,6,[ 2  3 10  6  0  3  7],0.015620946884155273
7,7,[2 0 5 2 0 3 6],0.015622138977050781
8,8,[3 1 7 3 0 4 6],0.015622138977050781
9,9,[5 0 6 1 0 3 4],0.015620231628417969
10,10,[6 1 8 2 0 4 5],0.01562190055847168
11,11,[3 1 5 5 0 4 8],0.03124403953552246
12,12,[3 0 7 6 0 3 5],0.01561880111694336
13,13,[5 1 9 2 0 3 8],0.015621662139892578
14,14,[2 2 7 2 0 2 5],0.015620231628417969
15,15,[ 4  1 10  1  0  1  6],0.015622138977050781
16,16,[ 4  2 10  1  0  4  3],0.015621423721313477
17,17,[1 0 6 0 0 3 6],0.0
18,18,[1 0 8 1 0 5 4],0.015622138977050781
19,19,[5 0 7 1 0 5 6],0.015621423721313477
20,20,[4 1 6 5 0 5 4],0.031245946884155273
21,21,[3 2 7 4 0 9 4],0.015616655349731445
22,22,[1 0 8 0 0 2 1],0.015621185302734375
23,23,[5 1 5 5 0 5 7],0.031243085861206055
24,24,[5 2 9 4 0 3 5],0.015621423721313477
25,25,[2 0 9 3 0 5 5],0.015622138977050781
26,26,[5 0 8 2 0 1 6],0.015620946884155273
27,27,[ 1  2 10  2  0  2  8],0.015619993209838867
28,28,[ 3  0 10  1  0  3  7],0.015621423721313477
29,29,[5 1 9 5 0 4 3],0.015621185302734375
30,30,[ 2  1 10  1  0  0  7],0.01562356948852539
31,31,[ 5  0 10  4  0  1  9],0.015620708465576172
32,32,[ 5  1 10  2  0  5  8],0.031241655349731445
33,33,[ 2  1 10  1  0  1  7],0.01562047004699707
34,34,[3 1 8 4 0 3 5],0.015620946884155273
35,35,[6 0 7 1 0 5 8],0.015622138977050781
36,36,[1 1 9 3 0 3 8],0.031244516372680664
37,37,[3 0 6 4 0 2 6],0.015619277954101562
38,38,[ 0  0  5  3  0  1 10],0.015621423721313477
39,39,[2 2 7 2 0 5 5],0.015620946884155273
40,40,[ 7  1 10  1  0  4  6],0.015621423721313477
41,41,[3 1 6 5 0 1 8],0.031244516372680664
42,42,[ 2  0 10  1  0  2  5],0.01562047004699707
43,43,[4 1 8 4 0 2 6],0.015620946884155273
44,44,[ 4  0  8  3  0  4 10],0.015620946884155273
45,45,[4 0 9 1 0 0 4],0.015621423721313477
46,46,[6 0 6 1 0 3 4],0.015620708465576172
47,47,[5 0 9 2 0 7 9],0.03124713897705078
48,48,[2 0 9 2 0 2 2],0.015618562698364258
49,49,[4 0 6 3 0 1 5],0.015621423721313477
50,50,[10  1  8  4  0  4  8],0.031241416931152344
51,51,[4 0 9 4 0 5 6],0.031243562698364258
52,52,[ 7  4 10  0  0  1  8],0.015620708465576172
53,53,[1 0 8 2 0 3 2],0.015621662139892578
54,54,[1 1 9 6 0 0 6],0.015619993209838867
55,55,[3 2 8 4 0 2 7],0.031243324279785156
56,56,[4 1 9 4 0 1 5],0.01562190055847168
57,57,[ 6  0 10  3  0  1  5],0.015622615814208984
58,58,[5 2 8 0 0 2 8],0.031241893768310547
59,59,[ 3  1  7  4  0  3 10],0.03124260902404785
60,60,[ 2  1 10  1  0  0  5],0.015620708465576172
61,61,[3 1 9 1 0 2 6],0.015620946884155273
62,62,[6 0 8 1 0 5 9],0.03124260902404785
63,63,[3 1 5 7 0 6 3],0.031241893768310547
64,64,[5 0 9 2 0 1 5],0.015622615814208984
65,65,[5 0 9 0 0 5 3],0.01562047004699707
66,66,[4 1 7 4 0 2 7],0.031244754791259766
67,67,[3 1 6 3 0 1 7],0.01561880111694336
68,68,[4 4 6 5 0 1 4],0.015621423721313477
69,69,[1 1 9 6 0 4 2],0.03124237060546875
